"Mode","API","Attribute","type","title","description","format"
"Bus","BusA1Data","PlateNumb","string","String","車牌號碼",NA
"Bus","BusA1Data","OperatorID","string","String","營運業者代碼",NA
"Bus","BusA1Data","OperatorNo","string","String","營運業者編號[交通部票證資料系統定義]",NA
"Bus","BusA1Data","RouteUID","string","String","路線唯一識別代碼，規則為 {業管機關簡碼} + {RouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusA1Data","RouteID","string","String","地區既用中之路線代碼(為原資料內碼)",NA
"Bus","BusA1Data","RouteName",NA,"NameType","路線名稱",NA
"Bus","BusA1Data","SubRouteUID","string","String","子路線唯一識別代碼，規則為 {業管機關簡碼} + {SubRouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusA1Data","SubRouteID","string","String","地區既用中之子路線代碼(為原資料內碼)",NA
"Bus","BusA1Data","SubRouteName",NA,"NameType","子路線名稱",NA
"Bus","BusA1Data","Direction","integer","Int32","去返程 : [0:'去程',1:'返程',2:'迴圈',255:'未知']",NA
"Bus","BusA1Data","BusPosition",NA,"PointType","車輛位置經度",NA
"Bus","BusA1Data","Speed","number",NA,"行駛速度(kph)","double"
"Bus","BusA1Data","Azimuth","number",NA,"方位角","double"
"Bus","BusA1Data","DutyStatus","integer","Int32","勤務狀態 : [0:'正常',1:'開始',2:'結束']",NA
"Bus","BusA1Data","BusStatus","integer","Int32","行車狀況 : [0:'正常',1:'車禍',2:'故障',3:'塞車',4:'緊急求援',5:'加油',90:'不明',91:'去回不明',98:'偏移路線',99:'非營運狀態',100:'客滿',101:'包車出租',255:'未知']",NA
"Bus","BusA1Data","MessageType","integer","Int32","資料型態種類 : [0:'未知',1:'定期',2:'非定期']",NA
"Bus","BusA1Data","GPSTime","string","DateTime","車機時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusA1Data","TransTime","string",NA,"車機資料傳輸時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[多數單位沒有提供此欄位資訊]","date-time"
"Bus","BusA1Data","SrcRecTime","string",NA,"來源端平台接收時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","BusA1Data","SrcTransTime","string",NA,"來源端平台資料傳出時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[公總使用動態即時推播故有提供此欄位, 而非公總系統因使用整包資料更新, 故沒有提供此欄位]","date-time"
"Bus","BusA1Data","SrcUpdateTime","string",NA,"來源端平台資料更新時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)[公總使用動態即時推播故沒有提供此欄位, 而非公總系統因提供整包資料更新, 故有提供此欄]","date-time"
"Bus","BusA1Data","UpdateTime","string","DateTime","本平台資料更新時間(ISO8601格式:yyyy-MM-ddTHH:mm:sszzz)","date-time"
"Bus","NameType","Zh_tw","string","String","中文繁體名稱",NA
"Bus","NameType","En","string","String","英文名稱",NA
"Bus","PointType","PositionLon","number",NA,"位置經度(WGS84)","double"
"Bus","PointType","PositionLat","number",NA,"位置緯度(WGS84)","double"
"Bus","PointType","GeoHash","string","String","地理空間編碼",NA
"Bus","DisplayHealth","ServiceID","string","String","API服務代碼",NA
"Bus","DisplayHealth","ServiceName","string","String","API服務中文名稱",NA
"Bus","DisplayHealth","Inbound",NA,"Inbound","本平台資料來源轉入狀態",NA
"Bus","DisplayHealth","Outbound",NA,"Outbound","本平台API狀態",NA
"Bus","Inbound","CheckTime","string","DateTime","檢核時間","date-time"
"Bus","Inbound","Status","integer","Int32","檢核結果狀態 : [0:'失敗',1:'成功',2:'資料清洗中']",NA
"Bus","Inbound","Reason","string","String","檢核失敗原因",NA
"Bus","Outbound","CheckTime","string","DateTime","檢核時間","date-time"
"Bus","Outbound","Status","integer","Int32","檢核結果狀態 : [0:'失敗',1:'成功',2:'資料清洗中']",NA
"Bus","Outbound","Reason","string","String","檢核失敗原因",NA
"Bus","BusA2Data","PlateNumb","string","String","車牌號碼",NA
"Bus","BusA2Data","OperatorID","string","String","營運業者代碼",NA
"Bus","BusA2Data","OperatorNo","string","String","營運業者編號[交通部票證資料系統定義]",NA
"Bus","BusA2Data","RouteUID","string","String","路線唯一識別代碼，規則為 {業管機關簡碼} + {RouteID}，其中 {業管機關簡碼} 可於Authority API中的AuthorityCode欄位查詢",NA
"Bus","BusA2Data","RouteID","string","String","地區既用中之路線代碼(為原資料內碼)",NA
"Bus","BusA2Data","RouteName",NA,"NameType","路線名",NA
