"COUNTYCODE","TOWNCODE","COUNTYNAME","TOWNNAME"
"09007","09007010","連江縣","南竿鄉"
"09007","09007020","連江縣","北竿鄉"
"09007","09007030","連江縣","莒光鄉"
"09007","09007040","連江縣","東引鄉"
"09020","09020010","金門縣","金城鎮"
"09020","09020020","金門縣","金沙鎮"
"09020","09020030","金門縣","金湖鎮"
"09020","09020040","金門縣","金寧鄉"
"09020","09020050","金門縣","烈嶼鄉"
"09020","09020060","金門縣","烏坵鄉"
"10002","10002010","宜蘭縣","宜蘭市"
"10002","10002020","宜蘭縣","羅東鎮"
"10002","10002030","宜蘭縣","蘇澳鎮"
"10002","10002040","宜蘭縣","頭城鎮"
"10002","10002050","宜蘭縣","礁溪鄉"
"10002","10002060","宜蘭縣","壯圍鄉"
"10002","10002070","宜蘭縣","員山鄉"
"10002","10002080","宜蘭縣","冬山鄉"
"10002","10002090","宜蘭縣","五結鄉"
"10002","10002100","宜蘭縣","三星鄉"
"10002","10002110","宜蘭縣","大同鄉"
"10002","10002120","宜蘭縣","南澳鄉"
"10004","10004010","新竹縣","竹北市"
"10004","10004020","新竹縣","竹東鎮"
"10004","10004030","新竹縣","新埔鎮"
"10004","10004040","新竹縣","關西鎮"
"10004","10004050","新竹縣","湖口鄉"
"10004","10004060","新竹縣","新豐鄉"
"10004","10004070","新竹縣","芎林鄉"
"10004","10004080","新竹縣","橫山鄉"
"10004","10004090","新竹縣","北埔鄉"
"10004","10004100","新竹縣","寶山鄉"
"10004","10004110","新竹縣","峨眉鄉"
"10004","10004120","新竹縣","尖石鄉"
"10004","10004130","新竹縣","五峰鄉"
"10005","10005010","苗栗縣","苗栗市"
"10005","10005020","苗栗縣","苑裡鎮"
"10005","10005030","苗栗縣","通霄鎮"
"10005","10005040","苗栗縣","竹南鎮"
"10005","10005050","苗栗縣","頭份市"
"10005","10005060","苗栗縣","後龍鎮"
"10005","10005070","苗栗縣","卓蘭鎮"
"10005","10005080","苗栗縣","大湖鄉"
"10005","10005090","苗栗縣","公館鄉"
"10005","10005100","苗栗縣","銅鑼鄉"
"10005","10005110","苗栗縣","南庄鄉"
"10005","10005120","苗栗縣","頭屋鄉"
"10005","10005130","苗栗縣","三義鄉"
"10005","10005140","苗栗縣","西湖鄉"
"10005","10005150","苗栗縣","造橋鄉"
"10005","10005160","苗栗縣","三灣鄉"
"10005","10005170","苗栗縣","獅潭鄉"
"10005","10005180","苗栗縣","泰安鄉"
"10007","10007010","彰化縣","彰化市"
"10007","10007020","彰化縣","鹿港鎮"
"10007","10007030","彰化縣","和美鎮"
"10007","10007040","彰化縣","線西鄉"
"10007","10007050","彰化縣","伸港鄉"
"10007","10007060","彰化縣","福興鄉"
"10007","10007070","彰化縣","秀水鄉"
"10007","10007080","彰化縣","花壇鄉"
"10007","10007090","彰化縣","芬園鄉"
"10007","10007100","彰化縣","員林市"
"10007","10007110","彰化縣","溪湖鎮"
"10007","10007120","彰化縣","田中鎮"
"10007","10007130","彰化縣","大村鄉"
"10007","10007140","彰化縣","埔鹽鄉"
"10007","10007150","彰化縣","埔心鄉"
"10007","10007160","彰化縣","永靖鄉"
"10007","10007170","彰化縣","社頭鄉"
"10007","10007180","彰化縣","二水鄉"
"10007","10007190","彰化縣","北斗鎮"
"10007","10007200","彰化縣","二林鎮"
"10007","10007210","彰化縣","田尾鄉"
"10007","10007220","彰化縣","埤頭鄉"
"10007","10007230","彰化縣","芳苑鄉"
"10007","10007240","彰化縣","大城鄉"
"10007","10007250","彰化縣","竹塘鄉"
"10007","10007260","彰化縣","溪州鄉"
"10008","10008010","南投縣","南投市"
"10008","10008020","南投縣","埔里鎮"
"10008","10008030","南投縣","草屯鎮"
"10008","10008040","南投縣","竹山鎮"
"10008","10008050","南投縣","集集鎮"
"10008","10008060","南投縣","名間鄉"
"10008","10008070","南投縣","鹿谷鄉"
"10008","10008080","南投縣","中寮鄉"
"10008","10008090","南投縣","魚池鄉"
"10008","10008100","南投縣","國姓鄉"
"10008","10008110","南投縣","水里鄉"
"10008","10008120","南投縣","信義鄉"
"10008","10008130","南投縣","仁愛鄉"
"10009","10009010","雲林縣","斗六市"
"10009","10009020","雲林縣","斗南鎮"
"10009","10009030","雲林縣","虎尾鎮"
"10009","10009040","雲林縣","西螺鎮"
"10009","10009050","雲林縣","土庫鎮"
"10009","10009060","雲林縣","北港鎮"
"10009","10009070","雲林縣","古坑鄉"
"10009","10009080","雲林縣","大埤鄉"
"10009","10009090","雲林縣","莿桐鄉"
"10009","10009100","雲林縣","林內鄉"
"10009","10009110","雲林縣","二崙鄉"
"10009","10009120","雲林縣","崙背鄉"
"10009","10009130","雲林縣","麥寮鄉"
"10009","10009140","雲林縣","東勢鄉"
"10009","10009150","雲林縣","褒忠鄉"
"10009","10009160","雲林縣","臺西鄉"
"10009","10009170","雲林縣","元長鄉"
"10009","10009180","雲林縣","四湖鄉"
"10009","10009190","雲林縣","口湖鄉"
"10009","10009200","雲林縣","水林鄉"
"10010","10010010","嘉義縣","太保市"
"10010","10010020","嘉義縣","朴子市"
"10010","10010030","嘉義縣","布袋鎮"
"10010","10010040","嘉義縣","大林鎮"
"10010","10010050","嘉義縣","民雄鄉"
"10010","10010060","嘉義縣","溪口鄉"
"10010","10010070","嘉義縣","新港鄉"
"10010","10010080","嘉義縣","六腳鄉"
"10010","10010090","嘉義縣","東石鄉"
"10010","10010100","嘉義縣","義竹鄉"
"10010","10010110","嘉義縣","鹿草鄉"
"10010","10010120","嘉義縣","水上鄉"
"10010","10010130","嘉義縣","中埔鄉"
"10010","10010140","嘉義縣","竹崎鄉"
"10010","10010150","嘉義縣","梅山鄉"
"10010","10010160","嘉義縣","番路鄉"
"10010","10010170","嘉義縣","大埔鄉"
"10010","10010180","嘉義縣","阿里山鄉"
"10013","10013010","屏東縣","屏東市"
"10013","10013020","屏東縣","潮州鎮"
"10013","10013030","屏東縣","東港鎮"
"10013","10013040","屏東縣","恆春鎮"
"10013","10013050","屏東縣","萬丹鄉"
"10013","10013060","屏東縣","長治鄉"
"10013","10013070","屏東縣","麟洛鄉"
"10013","10013080","屏東縣","九如鄉"
"10013","10013090","屏東縣","里港鄉"
"10013","10013100","屏東縣","鹽埔鄉"
"10013","10013110","屏東縣","高樹鄉"
"10013","10013120","屏東縣","萬巒鄉"
"10013","10013130","屏東縣","內埔鄉"
"10013","10013140","屏東縣","竹田鄉"
"10013","10013150","屏東縣","新埤鄉"
"10013","10013160","屏東縣","枋寮鄉"
"10013","10013170","屏東縣","新園鄉"
"10013","10013180","屏東縣","崁頂鄉"
"10013","10013190","屏東縣","林邊鄉"
"10013","10013200","屏東縣","南州鄉"
