ORI_NAME,COL_NAME
鄉鎮市區,TOWNNAME
交易標的,TRANSACTION_TYPE
土地位置建物門牌,ADDRESS
土地面積平方公尺,LAND_AREA
都市土地使用分區,LANDUSE_URBAN
非都市土地使用分區,LANDUSE_NONURBAN
非都市土地使用編定,LANDUSE_NONURBANPLAN
租賃年月日,RENT_DATE
租賃筆棟數,RENT_NUM
租賃層次,RENT_LEVEL
總樓層數,TOTAL_FLOOR
建物型態,BUILDING_TYPE
主要用途,MAIN_USE
主要建材,BUILDING_MATERIAL
建築完成年月,CONSTRUCTION_DATE
建物總面積平方公尺,BUILD_TOTAL_AREA
建物現況格局-房,ROOM
建物現況格局-廳,HALL
建物現況格局-衛,BATH
建物現況格局-隔間,COMPARTMENT
有無管理組織,MANAGEMENT
有無附傢俱,FURNITURE
總額元,TOTAL_PRICE
單價元平方公尺,UNIT_PRICE
車位類別,PARKING_TYPE
車位面積平方公尺,PARKING_UNIT_PRICE
車位總額元,PARKING_PRICE
備註,NOTE
編號,SERIALNUM
出租型態,RENT_TYPE
有無管理員,CONCIERGE
租賃期間,RENT_PERIOD
有無電梯,ELEVATOR
附屬設備,EQUIPMENT
租賃住宅服務,RENT_SERVICE
