"DATANAME","UNIT","TIME","SPACE","SA","Year"
"統計區國土利用調查統計","一級發布區","103Y","新竹縣|臺中市|南投縣|苗栗縣|新竹市|高雄市|臺北市|新北市|花蓮縣|臺南市|臺東縣|桃園市|嘉義市|雲林縣|基隆市|嘉義縣|金門縣|屏東縣|連江縣|彰化縣|澎湖縣|宜蘭縣","SA1",2014
"統計區國土利用調查統計","一級發布區","104Y","臺東縣|臺北市|新竹縣|花蓮縣|嘉義縣|新北市|桃園市|基隆市|高雄市|臺南市|臺中市|新竹市|連江縣|澎湖縣|屏東縣|嘉義市|宜蘭縣|金門縣|雲林縣|苗栗縣|彰化縣|南投縣","SA1",2015
"統計區國土利用調查統計","一級發布區","105Y","澎湖縣|金門縣","SA1",2016
"統計區國土利用調查統計","一級發布區","106Y","彰化縣|金門縣|雲林縣|屏東縣|新竹市|南投縣|臺北市|臺東縣|連江縣|嘉義縣|花蓮縣|基隆市|澎湖縣|嘉義市|高雄市|新北市|臺中市|臺南市|桃園市|宜蘭縣|新竹縣|苗栗縣","SA1",2017
"統計區國土利用調查統計","一級發布區","107Y","桃園市|新竹市|宜蘭縣|嘉義市|苗栗縣|臺北市|屏東縣|高雄市|花蓮縣|雲林縣|臺中市|嘉義縣|彰化縣|南投縣|新竹縣|臺東縣|基隆市|新北市|臺南市|澎湖縣|連江縣|金門縣","SA1",2018
"統計區國土利用調查統計","一級發布區","108Y","宜蘭縣|新竹市|苗栗縣|臺北市|花蓮縣|嘉義市|基隆市|高雄市|臺南市|新北市|金門縣|南投縣|新竹縣|雲林縣|彰化縣|嘉義縣|臺東縣|屏東縣|澎湖縣|連江縣|臺中市|桃園市","SA1",2019
"統計區國土利用調查統計","一級發布區","109Y","澎湖縣|南投縣|臺南市|彰化縣|雲林縣|嘉義縣|臺東縣|宜蘭縣|嘉義市|金門縣","SA1",2020
"統計區國土利用調查統計","一級發布區","110Y","臺北市|臺南市|澎湖縣|臺東縣|新北市|桃園市|新竹縣|金門縣|彰化縣|連江縣|基隆市|新竹市|嘉義市|南投縣|雲林縣|嘉義縣|高雄市|臺中市|花蓮縣|宜蘭縣|苗栗縣|屏東縣","SA1",2021
"統計區國土利用調查統計","一級發布區","111Y","臺北市|澎湖縣|嘉義市|雲林縣|高雄市|新竹市|新北市|嘉義縣|宜蘭縣|臺中市|苗栗縣|屏東縣|南投縣|桃園市|花蓮縣|臺東縣|基隆市|新竹縣|臺南市|彰化縣|金門縣|連江縣","SA1",2022
"統計區國土利用調查統計","二級發布區","103Y","苗栗縣|澎湖縣|基隆市|桃園市|彰化縣|臺中市|連江縣|新北市|新竹縣|宜蘭縣|南投縣|高雄市|新竹市|花蓮縣|屏東縣|臺南市|嘉義市|臺東縣|雲林縣|臺北市|嘉義縣|金門縣","SA2",2014
"統計區國土利用調查統計","二級發布區","104Y","宜蘭縣|金門縣|彰化縣|新竹縣|苗栗縣|臺南市|南投縣|臺東縣|屏東縣|基隆市|雲林縣|新北市|臺中市|嘉義市|嘉義縣|臺北市|桃園市|高雄市|連江縣|新竹市|花蓮縣|澎湖縣","SA2",2015
"統計區國土利用調查統計","二級發布區","105Y","澎湖縣|金門縣","SA2",2016
"統計區國土利用調查統計","二級發布區","106Y","臺中市|澎湖縣|嘉義縣|苗栗縣|臺東縣|基隆市|高雄市|連江縣|新竹縣|新竹市|彰化縣|嘉義市|南投縣|臺北市|雲林縣|屏東縣|桃園市|花蓮縣|金門縣|新北市|臺南市|宜蘭縣","SA2",2017
"統計區國土利用調查統計","二級發布區","107Y","屏東縣|苗栗縣|桃園市|嘉義縣|臺南市|南投縣|連江縣|雲林縣|高雄市|宜蘭縣|基隆市|新竹縣|新北市|彰化縣|嘉義市|臺中市|花蓮縣|臺東縣|新竹市|澎湖縣|臺北市|金門縣","SA2",2018
"統計區國土利用調查統計","二級發布區","108Y","宜蘭縣|花蓮縣|雲林縣|新竹縣|屏東縣|澎湖縣|臺北市|苗栗縣|新北市|基隆市|嘉義縣|彰化縣|臺東縣|新竹市|嘉義市|南投縣|高雄市|臺南市|臺中市|桃園市|金門縣|連江縣","SA2",2019
"統計區國土利用調查統計","二級發布區","109Y","南投縣|宜蘭縣|金門縣|臺南市|彰化縣|雲林縣|嘉義縣|臺東縣|澎湖縣|嘉義市","SA2",2020
"統計區國土利用調查統計","二級發布區","110Y","新竹市|臺東縣|臺中市|花蓮縣|桃園市|澎湖縣|南投縣|屏東縣|嘉義縣|嘉義市|臺北市|高雄市|新北市|基隆市|臺南市|金門縣|彰化縣|雲林縣|連江縣|宜蘭縣|新竹縣|苗栗縣","SA2",2021
"統計區國土利用調查統計","二級發布區","111Y","臺東縣|高雄市|連江縣|彰化縣|花蓮縣|金門縣|臺北市|新北市|澎湖縣|南投縣|雲林縣|臺中市|基隆市|嘉義縣|屏東縣|臺南市|新竹市|嘉義市|桃園市|苗栗縣|宜蘭縣|新竹縣","SA2",2022
