"DATANAME","TIME","SPACE","Year"
"高級中等學校校別概覽","99Y","全國(不含金門、連江、澎湖)",99
"高級中等學校校別概覽","99Y","澎湖縣、金門縣、連江縣",99
"高級中等學校校別概覽","100Y","全國(不含金門、連江、澎湖)",100
"高級中等學校校別概覽","100Y","澎湖縣、金門縣、連江縣",100
"高級中等學校校別概覽","101Y","澎湖縣、金門縣、連江縣",101
"高級中等學校校別概覽","101Y","全國(不含金門、連江、澎湖)",101
"高級中等學校校別概覽","102Y","澎湖縣、金門縣、連江縣",102
"高級中等學校校別概覽","102Y","全國(不含金門、連江、澎湖)",102
"大專校院校別概覽","99Y","澎湖縣、金門縣、連江縣",99
"大專校院校別概覽","99Y","全國(不含金門、連江、澎湖)",99
"大專校院校別概覽","100Y","全國(不含金門、連江、澎湖)",100
"大專校院校別概覽","100Y","澎湖縣、金門縣、連江縣",100
"大專校院校別概覽","101Y","全國(不含金門、連江、澎湖)",101
"大專校院校別概覽","101Y","澎湖縣、金門縣、連江縣",101
"大專校院校別概覽","102Y","澎湖縣、金門縣、連江縣",102
"大專校院校別概覽","102Y","全國(不含金門、連江、澎湖)",102
"大專校院校別概覽","103Y","澎湖縣、金門縣、連江縣",103
"大專校院校別概覽","103Y","全國(不含金門、連江、澎湖)",103
"大專校院校別概覽","104Y","全國(不含金門、連江、澎湖)",104
"大專校院校別概覽","104Y","澎湖縣、金門縣、連江縣",104
"大專校院校別概覽","105Y","澎湖縣、金門縣、連江縣",105
"大專校院校別概覽","105Y","全國(不含金門、連江、澎湖)",105
"大專校院校別概覽","106Y","澎湖、金門、連江",106
"大專校院校別概覽","106Y","全國(不含金門、連江、澎湖)",106
"大專校院校別概覽","107Y","澎湖縣、金門縣、連江縣",107
"大專校院校別概覽","107Y","全國(不含金門、連江、澎湖)",107
"大專校院校別概覽","108Y","澎湖縣、金門縣、連江縣",108
"大專校院校別概覽","108Y","全國(不含金門、連江、澎湖)",108
"大專校院校別概覽","109Y","全國(不含金門、連江、澎湖)",109
"大專校院校別概覽","109Y","澎湖縣、金門縣、連江縣",109
"大專校院校別概覽","110Y","全國(不含金門、連江、澎湖)",110
"大專校院校別概覽","110Y","澎湖縣、金門縣、連江縣",110
"大專校院校別概覽","111Y","全國(不含金門、連江、澎湖)",111
"大專校院校別概覽","111Y","澎湖縣、金門縣、連江縣",111
"大專校院校別概覽","112Y","全國(不含金門、連江、澎湖)",112
"大專校院校別概覽","112Y","澎湖、金門、連江",112
"高級中等學校校別概覽(103年起)","103Y","全國(不含金門、連江、澎湖)",103
"高級中等學校校別概覽(103年起)","103Y","澎湖縣、金門縣、連江縣",103
"高級中等學校校別概覽(103年起)","104Y","全國(不含金門、連江、澎湖)",104
"高級中等學校校別概覽(103年起)","104Y","澎湖縣、金門縣、連江縣",104
"高級中等學校校別概覽(103年起)","105Y","澎湖縣、金門縣、連江縣",105
"高級中等學校校別概覽(103年起)","105Y","全國(不含金門、連江、澎湖)",105
"高級中等學校校別概覽(103年起)","106Y","全國(不含金門、連江、澎湖)",106
"高級中等學校校別概覽(103年起)","106Y","澎湖縣、金門縣、連江縣",106
"高級中等學校校別概覽(103年起)","107Y","全國(不含金門、連江、澎湖)",107
"高級中等學校校別概覽(103年起)","107Y","澎湖縣、金門縣、連江縣",107
"高級中等學校校別概覽(103年起)","108Y","全國(不含金門、連江、澎湖)",108
"高級中等學校校別概覽(103年起)","108Y","澎湖縣、金門縣、連江縣",108
"高級中等學校校別概覽(103年起)","109Y","澎湖縣、金門縣、連江縣",109
"高級中等學校校別概覽(103年起)","109Y","全國(不含金門、連江、澎湖)",109
"高級中等學校校別概覽(103年起)","110Y","澎湖縣、金門縣、連江縣",110
"高級中等學校校別概覽(103年起)","110Y","全國(不含金門、連江、澎湖)",110
"高級中等學校校別概覽(103年起)","111Y","澎湖縣、金門縣、連江縣",111
"高級中等學校校別概覽(103年起)","111Y","全國(不含金門、連江、澎湖)",111
"高級中等學校校別概覽(103年起)","112Y","澎湖縣、金門縣、連江縣",112
"高級中等學校校別概覽(103年起)","112Y","全國(不含金門、連江、澎湖)",112
"國民小學校別概覽(104學年及以前)","99Y","全國(不含金門、連江、澎湖)",99
"國民小學校別概覽(104學年及以前)","100Y","全國(不含金門、連江、澎湖)",100
"國民小學校別概覽(104學年及以前)","100Y","澎湖縣、金門縣、連江縣",100
"國民小學校別概覽(104學年及以前)","101Y","澎湖縣、金門縣、連江縣",101
"國民小學校別概覽(104學年及以前)","101Y","全國(不含金門、連江、澎湖)",101
"國民小學校別概覽(104學年及以前)","102Y","澎湖縣、金門縣、連江縣",102
"國民小學校別概覽(104學年及以前)","102Y","全國(不含金門、連江、澎湖)",102
"國民小學校別概覽(104學年及以前)","103Y","全國(不含金門、連江、澎湖)",103
"國民小學校別概覽(104學年及以前)","103Y","澎湖縣、金門縣、連江縣",103
"國民小學校別概覽(104學年及以前)","104Y","全國(不含金門、連江、澎湖)",104
"國民小學校別概覽(104學年及以前)","104Y","澎湖縣、金門縣、連江縣",104
"國民中學校別概覽(104學年及以前)","99Y","全國(不含金門、連江、澎湖)",99
"國民中學校別概覽(104學年及以前)","99Y","澎湖縣、金門縣、連江縣",99
"國民中學校別概覽(104學年及以前)","100Y","全國(不含金門、連江、澎湖)",100
"國民中學校別概覽(104學年及以前)","100Y","澎湖縣、金門縣、連江縣",100
"國民中學校別概覽(104學年及以前)","101Y","澎湖縣、金門縣、連江縣",101
"國民中學校別概覽(104學年及以前)","101Y","全國(不含金門、連江、澎湖)",101
"國民中學校別概覽(104學年及以前)","102Y","澎湖縣、金門縣、連江縣",102
"國民中學校別概覽(104學年及以前)","102Y","全國(不含金門、連江、澎湖)",102
