CODE2,CODE1,CODEBASE,AREA_SUM,L01_SUM,L0101,L0102,L0103,L0104,L02_SUM,L0201,L0202,L0203,L0204,L0205,L0206,L0207,L03_SUM,L0301,L0302,L0303,L0304,L0305,L0306,L04_SUM,L0401,L0402,L0403,L0404,L0405,L0406,L05_SUM,L0501,L0502,L0503,L0504,L0505,L0506,L0507,L0508,L06_SUM,L0601,L0602,L0603,L0604,L0605,L0606,L07_SUM,L0701,L0702,L0703,L08_SUM,L0801,L0802,L0803,L09_SUM,L0901,L0902,L0903,L0904,L0905,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,土地面積總數,農業利用土地總數,農作使用,水產養殖,畜牧,農業相關設施,森林利用土地總數,針葉林,闊葉林,竹林,混淆林,灌木林,待成林地,其他森林利用土地,交通利用土地總數,機場,一般鐵路及相關設施,高速鐵路及相關設施,捷運及相關設施,道路及相關設施,港口,水利利用土地總數,河道及溝渠,蓄水設施,水道沙洲灘地,水利構造物,防汛道路,海面,建築利用土地總數,商業,純住宅,混合使用住宅,製造業,倉儲,宗教,殯葬設施,其他建築用地,公共利用土地總數,政府機關,學校,醫療保健,社會福利設施,公用設備,環保設施,遊憩利用土地總數,文化設施,公園綠地廣場,休閒設施,鹽礦利用土地總數,礦業及相關設施,土石及相關設施,鹽業及相關設施,其他利用土地總數,溼地,草生地,裸露地,營建剩餘土石收容處理相關設施,空置地,資料時間
A1001-02,A1001-02-001,A1001-0001-00,260651.348,85780.774,84157.047,,,1623.727,22542.952,,22436.987,105.965,,,,,8999.111,,,,,8999.111,,45377.07,25614.914,,,13375.592,6386.564,,127.885,,,,,127.885,,,,,,,,,,,,,,,,,,,97823.556,,85870.156,,,11953.4,"111Y"
A1001-01,A1001-01-001,A1001-0002-00,1970497.107,1538273.453,1507189.885,,1774.657,29308.911,113823.095,,96665.309,17157.786,,,,,55419.517,,,,,55419.517,,79832.651,76576.185,3256.466,,,,,42940.205,316.372,14702.86,924.498,5423.057,16983.19,2394.249,1333.916,862.063,,,,,,,,985.574,,985.574,,,,,,139222.612,,128098.221,,,11124.391,"111Y"
A1001-03,A1001-03-001,A1001-0003-00,690914.642,215390.322,198641.52,,12452.934,4295.868,84027.94,,83669.748,358.192,,,,,33182.025,,,,,33182.025,,28646.899,12160.688,1127.367,,7393.997,7964.847,,259601.166,18417.267,536.758,,231883.44,8721.561,,23.286,18.854,22232.583,3792.71,,,,6903.465,11536.408,,,,,,,,,47833.707,,18820.358,,,29013.349,"111Y"
A1001-01,A1001-01-001,A1001-0004-00,136856.065,107727.081,107727.081,,,,5584.836,,5277.485,307.351,,,,,21313.563,,,,,21313.563,,,,,,,,,2230.585,,,,,2230.585,,,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1001-03,A1001-03-001,A1001-0005-00,178943.036,,,,,,,,,,,,,,13519.396,,,,,13519.396,,838.166,838.166,,,,,,164585.474,19128.015,,,145457.459,,,,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1001-01,A1001-01-002,A1001-0006-00,525969.9,342943.844,341223.242,,226.227,1494.375,40233.243,,39538.642,694.601,,,,,16876.377,,,,,16876.377,,48253.547,30528.846,73.838,,10797.359,6853.504,,21176.196,193.824,12708.769,260.559,,921.928,673.132,123.757,6294.227,,,,,,,,,,,,,,,,56486.693,,52132.454,,,4354.239,"111Y"
A1001-05,A1001-05-001,A1001-0007-00,191967.5,47389.419,47243.629,,145.79,,51785.845,,50115.613,1670.232,,,,,3379.253,,,794.298,,2584.955,,29704.599,18014.678,,114.178,8189.314,3386.429,,7865.41,,6156.433,,,912.197,720.464,,76.316,,,,,,,,,,,,,,,,51842.974,,45346.297,,,6496.677,"111Y"
A1001-05,A1001-05-001,A1001-0008-00,100738.84,22301.366,22210.239,,91.127,,33683.93,,32490.848,1193.082,,,,,3727.72,,,,,3727.72,,23591.174,8149.322,,,8082.538,7359.314,,3246.824,,1703.644,,,1260.231,119.436,,163.513,,,,,,,,,,,,,,,,14187.826,,12432.309,,,1755.517,"111Y"
A1001-03,A1001-03-001,A1001-0009-00,181053.414,34816.088,34797.662,,,18.426,,,,,,,,,15892.847,,,,,15892.847,,2057.157,2057.157,,,,,,121738.475,,321.681,,121248.796,167.998,,,,2130.56,,,,,2130.56,,,,,,,,,,4418.287,,,,,4418.287,"111Y"
A1001-03,A1001-03-002,A1001-0010-00,106976.138,33964.077,33964.077,,,,,,,,,,,,4854.954,,,,,4854.954,,,,,,,,,68157.107,,,,55970.551,12186.556,,,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1001-02,A1001-02-002,A1001-0011-00,365944.833,193371.22,185318.79,,4963.183,3089.247,56193.602,,50236.783,5956.819,,,,,10878.068,,,,,10878.068,,27238.631,13863.364,6234.584,,4987.034,2153.649,,29063.407,,15164.793,273.578,,10391.371,1841.296,845.809,546.56,345.133,,,,345.133,,,619.613,,619.613,,,,,,48235.159,,27285.208,,,20949.951,"111Y"
A1001-05,A1001-05-002,A1001-0012-00,171513.118,112703.543,110534.602,,957.623,1211.318,12393.371,,11658.661,734.71,,,,,14405.149,,,25.832,,14379.317,,12634.113,2317.462,,,6840.308,3476.343,,15063.796,,12551.202,,,2047.063,465.531,,,,,,,,,,,,,,,,,,4313.146,,4.576,,,4308.57,"111Y"
A1001-05,A1001-05-003,A1001-0013-00,156103.402,131488.646,119943.355,,3047.775,8497.516,2756.207,,2756.207,,,,,,6754.508,,,,,6754.508,,2883.287,2479.803,145.624,,,257.86,,10921.777,,,,2766.399,1694.901,107.334,6353.143,,,,,,,,,,,,,,,,,1298.977,,,,,1298.977,"111Y"
A1001-05,A1001-05-002,A1001-0014-00,23870.832,13036.436,12666.633,,,369.803,,,,,,,,,3046.458,,,,,3046.458,,1478.603,,1478.603,,,,,5892.015,,3475.944,,594.593,235.07,1425.591,,160.817,129.259,,,,129.259,,,,,,,,,,,288.061,,,,,288.061,"111Y"
A1001-01,A1001-01-001,A1001-0015-00,158522.445,137099.743,136847.717,,75.594,176.432,228.591,,,228.591,,,,,5098.764,,,,,5098.764,,,,,,,,,14338.146,4548.625,4392.045,,,1381.428,,,4016.048,,,,,,,,,,,,,,,,1757.201,,,,,1757.201,"111Y"
A1001-05,A1001-05-004,A1001-0016-00,108698.662,96941.378,96265.237,,,676.141,,,,,,,,,7888.854,,,1263.445,,6625.409,,1613.589,1613.589,,,,,,590.623,,294.929,,,295.694,,,,,,,,,,,,,,,,,,,1664.218,,,,,1664.218,"111Y"
A1001-02,A1001-02-003,A1001-0017-00,55209.943,2.295,2.295,,,,1109.112,,1109.112,,,,,,13409.7,,,,,13409.7,,27586.022,12391.607,,,11335.137,3859.278,,7389.349,2928.686,1694.566,771.435,,1601.319,343.918,,49.425,2576.17,,,,,2576.17,,1629.139,,1629.139,,,,,,1508.156,,,,,1508.156,"111Y"
A1001-05,A1001-05-004,A1001-0018-00,135125.242,116810.205,96641.887,,,20168.318,,,,,,,,,6126.877,,,1625.808,,4501.069,,4723.981,4723.981,,,,,,6053.384,,3989.868,,,72.285,,1991.231,,,,,,,,,,,,,,,,,1410.795,,,,,1410.795,"111Y"
A1001-05,A1001-05-005,A1001-0019-00,207021.683,167895.154,160963.779,,330.126,6601.249,5156.401,,5156.401,,,,,,16105.008,,,,,16105.008,,5868.052,4953.297,914.755,,,,,8382.091,,3722.73,,4538.658,,,120.703,,,,,,,,,,,,,,,,,3614.977,,,,,3614.977,"111Y"
A1001-01,A1001-01-003,A1001-0020-00,120640.299,53447.728,53447.728,,,,5910.306,,2515.217,3395.089,,,,,28012.065,,,,,28012.065,,1871.156,1430.325,,,440.831,,,27682.654,,,,,2495.035,112.791,24726.897,347.931,,,,,,,,,,,,,,,,3716.39,,,,,3716.39,"111Y"
A1001-06,A1001-06-001,A1001-0021-00,174048.998,127778.041,121272.307,,4037.627,2468.107,,,,,,,,,25658.241,,,6017.978,,19640.263,,2537.208,2537.208,,,,,,18075.508,,,,,,106.831,17968.677,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1001-03,A1001-03-003,A1001-0022-00,191211.62,133724.852,130747.315,,,2977.537,,,,,,,,,20324.992,,,,,20324.992,,3012.857,3012.857,,,,,,24834.067,43.511,13299.902,466.18,5285.637,5738.837,,,,1564.593,,,,,,1564.593,3747.871,,,3747.871,,,,,4002.388,,,,,4002.388,"111Y"
A1001-03,A1001-03-004,A1001-0023-00,117500.762,75288.92,74868.188,,,420.732,104.246,,104.246,,,,,,12657.582,,,,,12657.582,,4637.188,1638.418,2998.77,,,,,24097.693,358.448,18909.767,171.995,3555.489,1101.994,,,,,,,,,,,,,,,,,,,715.133,,,,,715.133,"111Y"
A1001-04,A1001-04-001,A1001-0024-00,189614.51,156995.764,153077.896,,,3917.868,171.004,,164.002,7.002,,,,,6698.574,,,,,6698.574,,400.921,400.921,,,,,,23953.009,,21347.339,1042.262,,1342.527,41.801,,179.08,,,,,,,,,,,,,,,,1395.238,,,,,1395.238,"111Y"
